지점,지점명,일시,10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%)
980,강정,2021-11-26 00:00,13.9,26.8,30.1,34.5
980,강정,2021-11-26 01:00,13.9,26.9,30.1,34.5
980,강정,2021-11-26 02:00,13.9,26.8,30.1,34.5
980,강정,2021-11-26 03:00,13.9,26.8,30.1,34.5
980,강정,2021-11-26 04:00,13.8,26.8,30.1,34.5
980,강정,2021-11-26 05:00,13.9,26.8,30.1,34.5
980,강정,2021-11-26 06:00,13.9,26.8,30.1,34.5
980,강정,2021-11-26 07:00,13.9,26.8,30.2,34.5
980,강정,2021-11-26 08:00,13.9,26.8,30.0,34.5
980,강정,2021-11-26 09:00,13.9,26.8,30.0,34.5
980,강정,2021-11-26 10:00,13.9,28.4,31.0,34.5
980,강정,2021-11-26 11:00,13.9,27.7,30.7,34.5
980,강정,2021-11-26 12:00,14.0,27.5,30.5,34.5
980,강정,2021-11-26 13:00,13.9,27.6,30.4,34.5
980,강정,2021-11-26 14:00,13.8,27.8,30.4,34.5
980,강정,2021-11-26 15:00,13.7,27.9,30.4,34.5
980,강정,2021-11-26 16:00,13.6,27.6,30.3,34.5
980,강정,2021-11-26 17:00,13.4,28.3,30.3,34.5
980,강정,2021-11-26 18:00,13.4,27.5,30.3,34.5
980,강정,2021-11-26 19:00,13.4,26.5,30.3,34.5
980,강정,2021-11-26 20:00,13.4,27.9,31.0,34.5
980,강정,2021-11-26 21:00,13.4,27.3,30.3,34.5
980,강정,2021-11-26 22:00,13.4,28.0,31.1,34.5
980,강정,2021-11-26 23:00,13.4,26.5,31.5,34.5
980,강정,2021-11-27 00:00,13.4,26.5,31.4,34.5
980,강정,2021-11-27 01:00,13.4,28.0,30.9,34.5
980,강정,2021-11-27 02:00,13.4,27.4,31.1,34.5
980,강정,2021-11-27 03:00,13.4,27.6,31.1,34.5
980,강정,2021-11-27 04:00,13.4,26.4,30.1,34.5
980,강정,2021-11-27 05:00,13.4,26.4,30.1,34.5
980,강정,2021-11-27 06:00,13.4,26.4,30.1,34.5
980,강정,2021-11-27 07:00,13.4,26.4,30.1,34.5
980,강정,2021-11-27 08:00,13.4,26.4,30.1,34.5
980,강정,2021-11-27 09:00,13.4,26.4,30.1,34.5
980,강정,2021-11-27 10:00,13.4,26.4,30.1,34.5
980,강정,2021-11-27 11:00,13.4,26.4,30.1,34.5
980,강정,2021-11-27 12:00,13.4,26.3,30.1,34.5
980,강정,2021-11-27 13:00,13.4,26.3,30.1,34.5
980,강정,2021-11-27 14:00,13.4,26.3,30.1,34.5
980,강정,2021-11-27 15:00,13.3,26.2,30.2,34.5
980,강정,2021-11-27 16:00,13.2,27.1,30.4,34.5
980,강정,2021-11-27 17:00,13.1,27.1,30.3,34.5
980,강정,2021-11-27 18:00,13.0,27.1,30.3,34.5
980,강정,2021-11-27 19:00,13.0,27.6,30.3,34.5
980,강정,2021-11-27 20:00,13.1,26.1,30.2,34.5
980,강정,2021-11-27 21:00,13.0,27.2,30.1,34.5
980,강정,2021-11-27 22:00,13.0,27.4,30.2,34.5
980,강정,2021-11-27 23:00,13.0,27.4,30.1,34.5
980,강정,2021-11-28 00:00,13.0,27.4,30.1,34.5
980,강정,2021-11-28 01:00,13.0,27.4,30.2,34.5
980,강정,2021-11-28 02:00,13.0,27.5,30.1,34.5
980,강정,2021-11-28 03:00,13.0,27.4,30.1,34.5
980,강정,2021-11-28 04:00,13.1,27.0,30.2,34.5
980,강정,2021-11-28 05:00,13.0,26.7,31.0,34.5
980,강정,2021-11-28 06:00,13.1,27.0,31.5,34.5
980,강정,2021-11-28 07:00,13.1,27.0,31.4,34.5
980,강정,2021-11-28 08:00,13.1,26.6,31.1,34.5
980,강정,2021-11-28 09:00,13.1,26.7,31.1,34.5
980,강정,2021-11-28 10:00,13.1,26.5,31.0,34.5
980,강정,2021-11-28 11:00,13.1,26.6,31.1,34.5
980,강정,2021-11-28 12:00,13.1,26.9,31.1,34.5
980,강정,2021-11-28 13:00,13.1,26.9,30.0,34.4
980,강정,2021-11-28 14:00,13.0,26.9,30.0,34.5
980,강정,2021-11-28 15:00,12.9,26.8,30.0,34.5
980,강정,2021-11-28 16:00,12.8,26.8,30.0,34.3
980,강정,2021-11-28 17:00,12.7,26.6,30.0,34.4
980,강정,2021-11-28 18:00,12.6,27.0,31.0,34.3
980,강정,2021-11-28 19:00,12.6,27.0,31.0,34.3
980,강정,2021-11-28 20:00,12.6,27.0,31.1,34.3
980,강정,2021-11-28 21:00,12.6,27.0,31.0,34.3
980,강정,2021-11-28 22:00,12.6,27.1,31.1,34.3
980,강정,2021-11-28 23:00,12.7,27.1,31.1,34.3
980,강정,2021-11-29 00:00,12.7,26.4,30.6,34.3
980,강정,2021-11-29 01:00,12.7,27.1,30.8,34.3
980,강정,2021-11-29 02:00,12.7,27.4,30.9,34.3
980,강정,2021-11-29 03:00,12.7,27.4,31.0,34.3
980,강정,2021-11-29 04:00,12.7,26.4,30.6,34.3
980,강정,2021-11-29 05:00,12.7,27.1,30.9,34.3
980,강정,2021-11-29 06:00,12.8,27.3,30.9,34.3
980,강정,2021-11-29 07:00,12.8,26.5,30.8,34.3
980,강정,2021-11-29 08:00,12.8,26.3,31.0,34.3
980,강정,2021-11-29 09:00,12.8,26.8,30.9,34.3
980,강정,2021-11-29 10:00,12.8,26.4,30.7,34.3
980,강정,2021-11-29 11:00,12.8,26.5,30.9,34.3
980,강정,2021-11-29 12:00,12.8,26.5,30.9,34.3
980,강정,2021-11-29 13:00,12.8,26.5,30.9,34.3
980,강정,2021-11-29 14:00,12.8,26.0,30.8,34.3
980,강정,2021-11-29 15:00,12.7,27.0,30.2,34.3
980,강정,2021-11-29 16:00,12.6,26.9,30.8,34.3
980,강정,2021-11-29 17:00,12.5,26.9,30.8,34.3
980,강정,2021-11-29 18:00,12.4,27.0,30.8,34.3
980,강정,2021-11-29 19:00,12.4,26.9,30.5,34.3
980,강정,2021-11-29 20:00,12.4,26.5,30.1,34.3
980,강정,2021-11-29 21:00,12.4,26.5,30.8,34.3
980,강정,2021-11-29 22:00,12.4,27.0,30.6,34.3
980,강정,2021-11-29 23:00,12.4,25.9,29.6,34.3
980,강정,2021-11-30 01:00,12.9,25.9,29.6,34.3
980,강정,2021-11-30 02:00,12.9,25.9,29.6,34.3
980,강정,2021-11-30 03:00,12.9,25.9,29.6,34.3
980,강정,2021-11-30 04:00,13.9,25.9,29.6,34.3
980,강정,2021-11-30 05:00,13.6,26.1,29.6,34.3
980,강정,2021-11-30 06:00,14.0,26.3,29.6,34.3
980,강정,2021-11-30 07:00,15.3,27.1,29.8,34.3
980,강정,2021-11-30 08:00,16.9,35.0,36.8,36.4
980,강정,2021-11-30 09:00,16.8,33.8,35.8,37.3
980,강정,2021-11-30 10:00,17.1,33.5,35.5,37.5
980,강정,2021-11-30 11:00,17.1,33.5,35.5,37.5
980,강정,2021-11-30 12:00,17.1,33.5,35.5,37.5
980,강정,2021-11-30 13:00,17.3,33.5,35.5,37.5
980,강정,2021-11-30 14:00,18.3,33.3,35.3,37.5
980,강정,2021-11-30 15:00,18.3,33.3,35.3,37.5
980,강정,2021-11-30 16:00,18.6,33.3,35.3,37.5
