지점,지점명,일시,10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%)
970,철원장흥,2021-11-26 00:00,8.1,13.8,5.4,7.1
970,철원장흥,2021-11-26 01:00,8.0,13.8,5.4,7.1
970,철원장흥,2021-11-26 02:00,8.0,13.8,5.4,7.1
970,철원장흥,2021-11-26 03:00,8.0,13.8,5.4,7.1
970,철원장흥,2021-11-26 04:00,7.9,13.7,5.4,7.1
970,철원장흥,2021-11-26 05:00,7.9,13.7,5.3,7.0
970,철원장흥,2021-11-26 06:00,7.9,13.7,5.3,7.0
970,철원장흥,2021-11-26 07:00,7.9,13.6,5.3,7.0
970,철원장흥,2021-11-26 08:00,7.8,13.6,5.3,6.9
970,철원장흥,2021-11-26 09:00,7.8,13.6,5.3,6.9
970,철원장흥,2021-11-26 10:00,7.8,13.6,5.3,6.9
970,철원장흥,2021-11-26 11:00,7.7,13.6,5.3,7.0
970,철원장흥,2021-11-26 12:00,7.7,13.5,5.3,7.0
970,철원장흥,2021-11-26 13:00,7.8,13.5,5.3,7.0
970,철원장흥,2021-11-26 14:00,7.9,13.5,5.3,7.0
970,철원장흥,2021-11-26 15:00,7.9,13.5,5.3,7.0
970,철원장흥,2021-11-26 16:00,8.0,13.5,5.3,7.0
970,철원장흥,2021-11-26 17:00,8.0,13.5,5.3,7.0
970,철원장흥,2021-11-26 18:00,8.0,13.5,5.3,7.0
970,철원장흥,2021-11-26 19:00,8.0,13.5,5.3,7.0
970,철원장흥,2021-11-26 20:00,8.0,13.5,5.3,7.0
970,철원장흥,2021-11-26 21:00,7.9,13.4,5.3,7.0
970,철원장흥,2021-11-26 22:00,7.9,13.4,5.3,7.0
970,철원장흥,2021-11-26 23:00,7.9,13.4,5.3,7.0
970,철원장흥,2021-11-27 00:00,7.9,13.4,5.3,7.0
970,철원장흥,2021-11-27 01:00,7.8,13.4,5.3,7.0
970,철원장흥,2021-11-27 02:00,7.8,13.4,5.3,6.9
970,철원장흥,2021-11-27 03:00,7.7,13.4,5.2,6.9
970,철원장흥,2021-11-27 04:00,7.7,13.3,5.2,6.9
970,철원장흥,2021-11-27 05:00,7.7,13.3,5.2,6.9
970,철원장흥,2021-11-27 06:00,7.7,13.3,5.2,6.9
970,철원장흥,2021-11-27 07:00,7.6,13.3,5.2,6.8
970,철원장흥,2021-11-27 08:00,7.6,13.3,5.2,6.8
970,철원장흥,2021-11-27 09:00,7.5,13.3,5.2,6.8
970,철원장흥,2021-11-27 10:00,7.5,13.3,5.2,6.8
970,철원장흥,2021-11-27 11:00,7.4,13.3,5.2,6.9
970,철원장흥,2021-11-27 12:00,7.4,13.2,5.2,6.9
970,철원장흥,2021-11-27 13:00,7.4,13.2,5.2,6.9
970,철원장흥,2021-11-27 14:00,7.5,13.2,5.2,6.9
970,철원장흥,2021-11-27 15:00,7.6,13.2,5.2,6.9
970,철원장흥,2021-11-27 16:00,7.7,13.2,5.2,6.9
970,철원장흥,2021-11-27 17:00,7.8,13.2,5.2,6.9
970,철원장흥,2021-11-27 18:00,7.8,13.1,5.2,6.9
970,철원장흥,2021-11-27 19:00,7.8,13.1,5.2,6.9
970,철원장흥,2021-11-27 20:00,7.8,13.1,5.2,6.9
970,철원장흥,2021-11-27 21:00,7.8,13.1,5.2,6.9
970,철원장흥,2021-11-27 22:00,7.7,13.1,5.2,6.9
970,철원장흥,2021-11-27 23:00,7.7,13.1,5.2,6.9
970,철원장흥,2021-11-28 00:00,7.7,13.1,5.2,6.9
970,철원장흥,2021-11-28 01:00,7.7,13.1,5.2,6.8
970,철원장흥,2021-11-28 02:00,7.6,13.1,5.2,6.8
970,철원장흥,2021-11-28 03:00,7.6,13.1,5.2,6.8
970,철원장흥,2021-11-28 04:00,7.6,13.0,5.1,6.7
970,철원장흥,2021-11-28 05:00,7.5,13.0,5.1,6.7
970,철원장흥,2021-11-28 06:00,7.5,13.0,5.1,6.7
970,철원장흥,2021-11-28 07:00,7.4,13.0,5.1,6.7
970,철원장흥,2021-11-28 08:00,7.4,12.9,5.1,6.7
970,철원장흥,2021-11-28 09:00,7.3,12.9,5.1,6.7
970,철원장흥,2021-11-28 10:00,7.3,12.9,5.1,6.7
