10CM 정시 토양수분(%),20CM 정시 토양수분(%),30CM 정시 토양수분(%),50CM 정시 토양수분(%),일자
20.69090909090909,21.57272727272727,21.181818181818183,24.25454545454545,2021-11-28 13:00
20.727272727272723,21.6,21.181818181818183,24.25454545454545,2021-11-28 14:00
20.772727272727273,21.581818181818186,21.181818181818183,24.25454545454545,2021-11-28 15:00
20.800000000000004,21.572727272727278,21.145454545454545,24.236363636363635,2021-11-28 16:00
20.799999999999997,21.55454545454546,21.154545454545453,24.245454545454546,2021-11-28 17:00
20.80909090909091,21.60909090909091,21.245454545454546,24.245454545454546,2021-11-28 18:00
20.86363636363636,21.60909090909091,21.236363636363635,24.245454545454546,2021-11-28 19:00
20.863636363636363,21.599999999999998,21.254545454545454,24.245454545454546,2021-11-28 20:00
20.900000000000002,21.57272727272727,21.227272727272727,24.245454545454546,2021-11-28 21:00
20.9,21.563636363636363,21.236363636363635,24.245454545454546,2021-11-28 22:00
20.9,21.563636363636363,21.254545454545454,24.245454545454546,2021-11-28 23:00
20.863636363636363,21.490909090909092,21.2,24.245454545454546,2021-11-29 0:00
20.83636363636364,21.563636363636363,21.21818181818182,24.245454545454546,2021-11-29 1:00
20.83636363636364,21.57272727272727,21.21818181818182,24.245454545454546,2021-11-29 2:00
20.8,21.57272727272727,21.245454545454546,24.245454545454546,2021-11-29 3:00
20.727272727272723,21.48181818181818,21.18181818181818,24.245454545454546,2021-11-29 4:00
20.672727272727272,21.55454545454545,21.236363636363635,24.245454545454546,2021-11-29 5:00
20.62727272727273,21.545454545454543,21.21818181818182,24.236363636363635,2021-11-29 6:00
20.590909090909093,21.463636363636365,21.227272727272727,24.227272727272727,2021-11-29 7:00
20.563636363636366,21.436363636363637,21.20909090909091,24.227272727272723,2021-11-29 8:00
20.545454545454547,21.481818181818184,21.19090909090909,24.227272727272723,2021-11-29 9:00
20.281818181818185,21.154545454545456,20.57272727272727,23.590909090909086,2021-11-29 10:00
20.6,21.445454545454545,21.145454545454548,24.227272727272723,2021-11-29 11:00
20.663636363636364,21.427272727272726,21.13636363636364,24.227272727272723,2021-11-29 12:00
20.71818181818182,21.445454545454545,21.145454545454548,24.209090909090904,2021-11-29 13:00
19.42727272727273,20.0,18.718181818181822,21.099999999999998,2021-11-29 14:00
19.736363636363635,20.09090909090909,18.681818181818183,21.090909090909093,2021-11-29 15:00
19.745454545454546,20.07272727272727,18.71818181818182,21.099999999999998,2021-11-29 16:00
19.736363636363638,20.08181818181818,18.700000000000003,21.099999999999998,2021-11-29 17:00
19.772727272727277,20.099999999999998,18.700000000000003,21.099999999999998,2021-11-29 18:00
19.781818181818185,20.09090909090909,18.700000000000003,21.099999999999998,2021-11-29 19:00
19.818181818181817,20.054545454545455,18.645454545454548,21.099999999999998,2021-11-29 20:00
19.80909090909091,20.036363636363635,18.745454545454546,21.1,2021-11-29 21:00
19.89090909090909,20.099999999999998,18.727272727272727,21.1,2021-11-29 22:00
19.87272727272727,19.99090909090909,18.62727272727273,21.1,2021-11-29 23:00
19.9,19.990909090909092,18.51818181818182,21.10909090909091,2021-11-30 1:00
19.88181818181818,19.963636363636365,18.572727272727274,21.10909090909091,2021-11-30 2:00
19.881818181818183,19.954545454545453,18.572727272727274,21.1,2021-11-30 3:00
19.92727272727273,19.945454545454545,18.563636363636366,21.1,2021-11-30 4:00
20.245454545454546,19.981818181818184,18.563636363636366,21.1,2021-11-30 5:00
20.3,20.436363636363637,18.536363636363635,21.10909090909091,2021-11-30 6:00
21.263636363636365,20.936363636363634,19.090909090909093,21.172727272727272,2021-11-30 7:00
22.272727272727273,21.827272727272728,20.37272727272727,22.00909090909091,2021-11-30 8:00
23.272727272727273,22.663636363636364,20.654545454545456,22.200000000000003,2021-11-30 9:00
24.281818181818185,23.327272727272728,21.20909090909091,22.61818181818182,2021-11-30 10:00
24.436363636363637,23.781818181818178,22.0,22.900000000000002,2021-11-30 11:00
25.681818181818183,24.4,22.41818181818182,26.481818181818184,2021-11-30 12:00
25.29090909090909,24.36363636363636,25.563636363636363,26.63636363636364,2021-11-30 13:00
25.136363636363637,24.336363636363636,25.645454545454548,26.645454545454548,2021-11-30 14:00
24.94545454545454,25.172727272727272,25.318181818181824,26.645454545454548,2021-11-30 15:00
24.845454545454547,25.272727272727273,25.036363636363635,26.61818181818182,2021-11-30 16:00
24.7,25.045454545454547,24.790909090909096,26.545454545454547,2021-11-30 17:00
24.700000000000003,24.863636363636363,24.66363636363636,26.44545454545454,2021-11-30 18:00
24.59090909090909,24.372727272727275,24.6,26.336363636363636,2021-11-30 19:00
24.490909090909096,24.10909090909091,24.59090909090909,26.263636363636365,2021-11-30 20:00
24.418181818181814,23.936363636363634,24.536363636363635,26.24545454545455,2021-11-30 21:00
24.263636363636365,23.763636363636362,24.072727272727274,26.2,2021-11-30 22:00
24.20909090909091,23.636363636363637,23.127272727272725,26.181818181818187,2021-11-30 23:00
24.05454545454545,23.436363636363637,22.0,26.099999999999998,2021-12-01 1:00
23.972727272727273,23.336363636363636,21.50909090909091,26.072727272727274,2021-12-01 2:00
23.84545454545454,23.245454545454546,21.40909090909091,26.045454545454547,2021-12-01 3:00
23.79090909090909,23.181818181818183,21.263636363636362,26.027272727272727,2021-12-01 4:00
23.609090909090913,23.127272727272725,21.227272727272734,26.00909090909091,2021-12-01 5:00
23.454545454545453,23.036363636363635,21.181818181818187,26.0,2021-12-01 6:00
23.3,22.972727272727273,21.145454545454548,25.981818181818184,2021-12-01 7:00
23.14545454545454,22.918181818181818,21.1,25.954545454545453,2021-12-01 8:00
23.05454545454546,22.854545454545455,21.08181818181818,25.94545454545454,2021-12-01 9:00
22.990909090909092,22.754545454545454,21.063636363636363,25.94545454545454,2021-12-01 10:00
22.972727272727273,22.71818181818182,21.027272727272727,25.927272727272726,2021-12-01 11:00
23.0,22.69090909090909,20.990909090909096,25.918181818181814,2021-12-01 12:00
22.99090909090909,22.654545454545453,20.972727272727273,25.9,2021-12-01 13:00
22.972727272727273,22.654545454545453,20.972727272727273,25.90909090909091,2021-12-01 14:00
22.963636363636365,22.636363636363633,20.972727272727273,25.89090909090909,2021-12-01 15:00
22.927272727272733,22.618181818181817,20.954545454545453,25.88181818181818,2021-12-01 16:00
22.88181818181818,22.599999999999998,20.936363636363637,25.845454545454547,2021-12-01 17:00
22.8,22.599999999999998,20.90909090909091,25.827272727272728,2021-12-01 18:00
22.672727272727272,22.60909090909091,20.89090909090909,25.79090909090909,2021-12-01 19:00
22.59090909090909,22.627272727272725,21.027272727272727,25.781818181818178,2021-12-01 20:00
22.490909090909092,22.581818181818186,20.90909090909091,25.754545454545454,2021-12-01 21:00
22.345454545454544,22.518181818181816,20.92727272727273,25.736363636363638,2021-12-01 22:00
22.236363636363638,22.5,20.900000000000002,25.727272727272727,2021-12-01 23:00
22.099999999999998,22.481818181818184,20.863636363636363,25.7,2021-12-02 0:00
21.963636363636365,22.436363636363637,20.863636363636363,25.654545454545453,2021-12-02 1:00
21.845454545454547,22.41818181818182,20.863636363636363,25.663636363636364,2021-12-02 2:00
21.700000000000003,22.39090909090909,20.845454545454547,25.645454545454548,2021-12-02 3:00
21.581818181818182,22.372727272727275,20.927272727272733,25.58181818181818,2021-12-02 4:00
21.481818181818184,22.31818181818182,20.85454545454546,25.436363636363634,2021-12-02 5:00
21.354545454545455,22.427272727272726,20.872727272727275,25.163636363636364,2021-12-02 6:00
21.227272727272727,22.40909090909091,20.85454545454546,24.863636363636363,2021-12-02 7:00
21.12727272727273,22.36363636363636,20.80909090909091,24.454545454545453,2021-12-02 8:00
21.05454545454546,22.299999999999997,20.8,23.936363636363637,2021-12-02 9:00
21.09090909090909,22.236363636363635,20.790909090909093,23.49090909090909,2021-12-02 10:00
21.227272727272727,22.200000000000003,20.763636363636365,23.3,2021-12-02 11:00
21.327272727272728,22.20909090909091,20.745454545454546,23.218181818181822,2021-12-02 12:00
21.400000000000002,22.181818181818187,20.754545454545454,23.10909090909091,2021-12-02 13:00
21.454545454545453,22.16363636363636,20.727272727272727,23.01818181818182,2021-12-02 14:00
21.509090909090915,22.145454545454548,20.727272727272727,22.890909090909094,2021-12-02 15:00
21.527272727272727,22.1,20.7,22.654545454545456,2021-12-02 16:00
21.527272727272727,22.11818181818182,20.70909090909091,22.545454545454547,2021-12-02 17:00
21.572727272727274,22.081818181818182,20.681818181818183,22.336363636363636,2021-12-02 18:00
21.572727272727274,22.090909090909093,20.672727272727272,22.318181818181817,2021-12-02 19:00
21.563636363636363,22.027272727272727,20.654545454545456,22.236363636363635,2021-12-02 20:00
21.599999999999998,22.009090909090908,20.654545454545456,22.20909090909091,2021-12-02 21:00
21.58181818181818,22.09090909090909,20.609090909090913,22.21818181818182,2021-12-02 22:00
21.59090909090909,22.036363636363635,20.7,22.172727272727272,2021-12-02 23:00
21.60909090909091,22.063636363636366,20.60909090909091,22.154545454545456,2021-12-03 0:00
21.60909090909091,22.05454545454546,20.61818181818182,22.154545454545456,2021-12-03 1:00
21.627272727272725,22.01818181818182,20.68181818181818,22.145454545454545,2021-12-03 2:00
18.818181818181817,19.10909090909091,17.77272727272727,19.236363636363638,2021-12-03 3:00
21.827272727272724,21.990909090909096,20.636363636363633,22.12727272727273,2021-12-03 4:00
21.836363636363636,22.027272727272727,20.70909090909091,22.12727272727273,2021-12-03 5:00
21.818181818181817,22.027272727272727,20.70909090909091,22.09090909090909,2021-12-03 6:00
21.818181818181817,22.03636363636364,20.599999999999998,22.081818181818186,2021-12-03 7:00
21.809090909090912,22.05454545454546,20.654545454545456,22.054545454545455,2021-12-03 8:00
21.809090909090912,22.0,20.563636363636366,22.054545454545455,2021-12-03 9:00
21.83636363636364,22.00909090909091,20.554545454545455,22.063636363636363,2021-12-03 10:00
21.854545454545452,22.045454545454547,20.61818181818182,22.05454545454545,2021-12-03 11:00
21.88181818181818,22.018181818181816,20.645454545454545,22.027272727272724,2021-12-03 12:00
21.863636363636363,22.05454545454546,20.66363636363636,22.027272727272724,2021-12-03 13:00
21.94545454545455,22.036363636363635,20.654545454545456,22.036363636363635,2021-12-03 14:00
21.936363636363634,22.036363636363635,20.63636363636364,22.009090909090908,2021-12-03 15:00
21.963636363636365,22.027272727272727,20.645454545454545,22.0,2021-12-03 16:00
21.972727272727273,22.00909090909091,20.61818181818182,22.0,2021-12-03 17:00
21.954545454545453,22.063636363636363,20.700000000000003,22.01818181818182,2021-12-03 18:00
21.91818181818182,22.045454545454547,20.69090909090909,22.01818181818182,2021-12-03 19:00
21.845454545454544,22.045454545454547,20.700000000000003,22.01818181818182,2021-12-03 20:00
21.8,22.045454545454547,20.681818181818183,22.009090909090908,2021-12-03 21:00
21.681818181818183,21.936363636363637,20.645454545454548,21.972727272727273,2021-12-03 22:00
21.609090909090913,21.99090909090909,20.654545454545456,21.89090909090909,2021-12-03 23:00
21.39090909090909,21.88181818181818,20.700000000000003,21.86363636363636,2021-12-04 1:00
21.29090909090909,21.854545454545455,20.709090909090914,21.86363636363636,2021-12-04 2:00
21.2,21.872727272727275,20.700000000000003,21.854545454545455,2021-12-04 3:00
21.10909090909091,21.818181818181817,20.663636363636364,21.854545454545455,2021-12-04 4:00
21.045454545454547,21.772727272727273,20.672727272727272,21.83636363636364,2021-12-04 5:00
20.936363636363637,21.745454545454546,20.663636363636364,21.818181818181817,2021-12-04 6:00
20.827272727272724,21.78181818181818,20.599999999999998,21.80909090909091,2021-12-04 7:00
20.727272727272727,21.736363636363635,20.572727272727278,21.80909090909091,2021-12-04 8:00
20.781818181818185,21.718181818181815,20.672727272727276,21.8,2021-12-04 9:00
20.772727272727273,21.700000000000003,20.60909090909091,21.8,2021-12-04 10:00
20.89090909090909,21.672727272727272,20.55454545454546,21.80909090909091,2021-12-04 11:00
21.054545454545455,21.672727272727272,20.563636363636366,21.818181818181817,2021-12-04 12:00
21.045454545454547,21.654545454545456,20.581818181818182,21.818181818181817,2021-12-04 13:00
21.181818181818183,21.61818181818182,20.55454545454546,21.818181818181817,2021-12-04 14:00
21.290909090909096,21.61818181818182,20.545454545454547,21.818181818181817,2021-12-04 15:00
21.33636363636364,21.66363636363636,20.60909090909091,21.80909090909091,2021-12-04 16:00
21.318181818181817,21.60909090909091,20.554545454545455,21.80909090909091,2021-12-04 17:00
21.3,21.618181818181817,20.518181818181816,21.799999999999997,2021-12-04 18:00
21.272727272727273,21.57272727272727,20.536363636363635,21.799999999999997,2021-12-04 19:00
21.236363636363638,21.59090909090909,20.527272727272727,21.79090909090909,2021-12-04 20:00
21.172727272727272,21.59090909090909,20.490909090909092,21.79090909090909,2021-12-04 21:00
21.11818181818182,21.58181818181818,20.48181818181818,21.79090909090909,2021-12-04 22:00
21.063636363636366,21.55454545454546,20.509090909090904,21.781818181818185,2021-12-04 23:00
20.963636363636365,21.563636363636363,20.463636363636365,21.781818181818185,2021-12-05 0:00
20.89090909090909,21.49090909090909,20.445454545454545,21.754545454545454,2021-12-05 1:00
20.80909090909091,21.554545454545455,20.445454545454545,21.745454545454546,2021-12-05 2:00
20.80909090909091,21.52727272727273,20.29090909090909,21.736363636363635,2021-12-05 3:00
20.71818181818182,21.481818181818184,20.29090909090909,21.736363636363635,2021-12-05 4:00
20.599999999999998,21.481818181818184,20.163636363636364,21.736363636363635,2021-12-05 5:00
20.518181818181816,21.563636363636366,20.1,21.727272727272723,2021-12-05 6:00
20.418181818181818,21.51818181818182,20.099999999999998,21.727272727272723,2021-12-05 7:00
20.327272727272728,21.427272727272726,20.10909090909091,21.736363636363635,2021-12-05 8:00
20.28181818181818,21.409090909090907,20.063636363636363,21.71818181818182,2021-12-05 9:00
20.318181818181817,21.409090909090907,20.081818181818182,21.71818181818182,2021-12-05 10:00
20.40909090909091,21.381818181818183,20.027272727272727,21.71818181818182,2021-12-05 11:00
20.55454545454546,21.37272727272727,20.063636363636363,21.72727272727273,2021-12-05 12:00
20.654545454545456,21.38181818181818,20.009090909090908,21.718181818181822,2021-12-05 13:00
21.081818181818186,21.363636363636367,19.98181818181818,21.790909090909093,2021-12-05 14:00
21.263636363636365,21.37272727272727,19.98181818181818,21.745454545454546,2021-12-05 15:00
21.372727272727275,21.363636363636363,19.94545454545455,21.727272727272727,2021-12-05 16:00
21.354545454545452,21.363636363636367,19.981818181818184,21.727272727272727,2021-12-05 17:00
21.363636363636363,21.363636363636367,19.990909090909092,21.70909090909091,2021-12-05 18:00
21.37272727272727,21.363636363636367,20.05454545454546,21.700000000000003,2021-12-05 19:00
21.37272727272727,21.345454545454547,19.954545454545453,21.700000000000003,2021-12-05 20:00
21.336363636363636,21.33636363636364,20.0,21.700000000000003,2021-12-05 21:00
21.30909090909091,21.35454545454546,19.963636363636365,21.700000000000003,2021-12-05 22:00
21.272727272727273,21.309090909090912,20.000000000000004,21.69090909090909,2021-12-05 23:00
21.218181818181822,21.309090909090912,19.999999999999996,21.754545454545454,2021-12-06 0:00
21.154545454545456,21.3,19.972727272727273,21.69090909090909,2021-12-06 1:00
21.10909090909091,21.33636363636364,19.990909090909092,21.681818181818183,2021-12-06 2:00
21.009090909090908,21.28181818181818,19.954545454545453,21.681818181818183,2021-12-06 3:00
20.936363636363637,21.28181818181818,19.9,21.663636363636364,2021-12-06 4:00
20.854545454545452,21.254545454545454,19.90909090909091,21.663636363636364,2021-12-06 5:00
20.80909090909091,21.3,19.88181818181818,21.654545454545453,2021-12-06 6:00
20.727272727272727,21.272727272727277,19.87272727272727,21.63636363636364,2021-12-06 7:00
20.654545454545456,21.236363636363635,19.86363636363636,21.645454545454548,2021-12-06 8:00
20.681818181818183,21.236363636363638,19.854545454545452,21.645454545454548,2021-12-06 9:00
20.681818181818183,21.2,19.845454545454544,21.63636363636364,2021-12-06 10:00
20.790909090909093,21.181818181818183,19.836363636363636,21.63636363636364,2021-12-06 11:00
20.900000000000002,21.272727272727273,19.827272727272724,21.645454545454545,2021-12-06 12:00
21.027272727272727,21.172727272727272,19.745454545454546,21.654545454545456,2021-12-06 13:00
21.30909090909091,21.181818181818183,19.754545454545454,21.654545454545456,2021-12-06 14:00
21.39090909090909,21.154545454545456,19.78181818181818,21.654545454545456,2021-12-06 15:00
21.42727272727273,21.163636363636364,19.80909090909091,21.654545454545456,2021-12-06 16:00
21.44545454545455,21.154545454545453,19.78181818181818,21.654545454545456,2021-12-06 17:00
21.500000000000004,21.10909090909091,19.745454545454546,21.645454545454548,2021-12-06 18:00
21.55454545454546,21.099999999999998,19.672727272727272,21.645454545454548,2021-12-06 19:00
21.581818181818182,21.10909090909091,19.663636363636364,21.645454545454548,2021-12-06 20:00
21.563636363636363,21.11818181818182,19.69090909090909,21.736363636363638,2021-12-06 21:00
21.59090909090909,21.12727272727273,19.7,21.645454545454548,2021-12-06 22:00
21.59090909090909,21.118181818181817,19.71818181818182,21.645454545454548,2021-12-06 23:00
21.554545454545455,21.12727272727273,19.718181818181815,21.636363636363637,2021-12-07 1:00
21.527272727272727,21.20909090909091,19.745454545454546,21.645454545454548,2021-12-07 2:00
21.490909090909096,21.11818181818182,19.70909090909091,21.636363636363637,2021-12-07 3:00
21.46363636363637,21.12727272727273,19.70909090909091,21.61818181818182,2021-12-07 4:00
21.436363636363637,21.11818181818182,19.7,21.61818181818182,2021-12-07 5:00
21.35454545454546,21.118181818181817,19.69090909090909,21.61818181818182,2021-12-07 6:00
21.31818181818182,21.099999999999998,19.681818181818183,21.61818181818182,2021-12-07 7:00
21.254545454545454,21.09090909090909,19.672727272727272,21.62727272727273,2021-12-07 8:00
21.236363636363638,21.099999999999998,19.654545454545456,21.60909090909091,2021-12-07 9:00
21.20909090909091,21.099999999999998,19.62727272727273,21.60909090909091,2021-12-07 10:00
21.309090909090912,21.07272727272727,19.62727272727273,21.62727272727273,2021-12-07 11:00
21.42727272727273,21.07272727272727,19.61818181818182,21.61818181818182,2021-12-07 12:00
21.454545454545457,21.063636363636363,19.63636363636364,21.61818181818182,2021-12-07 13:00
21.509090909090915,21.072727272727274,19.663636363636364,21.61818181818182,2021-12-07 14:00
21.599999999999998,21.045454545454547,19.6,21.61818181818182,2021-12-07 15:00
21.59090909090909,21.054545454545455,19.581818181818182,21.60909090909091,2021-12-07 16:00
21.58181818181818,21.063636363636366,19.654545454545453,21.59090909090909,2021-12-07 17:00
21.62727272727273,21.072727272727274,19.645454545454545,21.599999999999998,2021-12-07 18:00
21.645454545454545,21.081818181818182,19.654545454545453,21.59090909090909,2021-12-07 19:00
21.654545454545456,21.072727272727274,19.645454545454545,21.590909090909093,2021-12-07 20:00
21.663636363636364,21.063636363636363,19.654545454545456,21.599999999999998,2021-12-07 21:00
21.672727272727276,21.08181818181818,19.636363636363637,21.581818181818182,2021-12-07 22:00
21.672727272727272,21.081818181818182,19.618181818181817,21.581818181818182,2021-12-07 23:00
21.654545454545453,21.09090909090909,19.60909090909091,21.581818181818182,2021-12-08 0:00
21.60909090909091,21.10909090909091,19.60909090909091,21.581818181818182,2021-12-08 1:00
21.572727272727274,21.09090909090909,19.60909090909091,21.57272727272727,2021-12-08 2:00
21.572727272727274,21.063636363636363,19.545454545454543,21.57272727272727,2021-12-08 3:00
21.527272727272727,21.063636363636363,19.536363636363635,21.563636363636366,2021-12-08 4:00
21.42727272727273,21.063636363636363,19.581818181818182,21.581818181818182,2021-12-08 5:00
21.40909090909091,21.036363636363635,19.581818181818182,21.581818181818182,2021-12-08 6:00
21.345454545454547,21.054545454545455,19.57272727272727,21.581818181818182,2021-12-08 7:00
21.35454545454546,21.018181818181816,19.581818181818182,21.581818181818182,2021-12-08 8:00
21.363636363636367,21.009090909090908,19.581818181818182,21.581818181818182,2021-12-08 9:00
21.354545454545455,21.009090909090908,19.581818181818182,21.59090909090909,2021-12-08 10:00
21.363636363636363,21.0,19.55454545454546,21.59090909090909,2021-12-08 11:00
21.400000000000002,21.018181818181816,19.554545454545455,21.572727272727274,2021-12-08 12:00
21.41818181818182,20.98181818181818,19.545454545454547,21.59090909090909,2021-12-08 13:00
21.41818181818182,20.98181818181818,19.563636363636363,21.58181818181818,2021-12-08 14:00
21.427272727272726,20.98181818181818,19.554545454545455,21.58181818181818,2021-12-08 15:00
21.40909090909091,20.99090909090909,19.554545454545455,21.58181818181818,2021-12-08 16:00
21.454545454545453,20.98181818181818,19.490909090909092,21.572727272727274,2021-12-08 17:00
21.48181818181818,20.972727272727273,19.509090909090908,21.563636363636363,2021-12-08 18:00
21.48181818181818,21.009090909090908,19.554545454545455,21.581818181818186,2021-12-08 19:00
21.48181818181818,21.009090909090908,19.554545454545455,21.581818181818182,2021-12-08 20:00
21.509090909090908,21.009090909090908,19.545454545454547,21.645454545454545,2021-12-08 21:00
21.481818181818184,21.009090909090908,19.545454545454547,21.57272727272727,2021-12-08 22:00
21.499999999999996,21.0,19.554545454545455,21.581818181818182,2021-12-08 23:00
21.436363636363637,20.98181818181818,19.563636363636366,21.581818181818182,2021-12-09 0:00
21.41818181818182,20.972727272727273,19.554545454545455,21.581818181818182,2021-12-09 1:00
21.381818181818183,20.98181818181818,19.599999999999998,21.57272727272727,2021-12-09 2:00
21.354545454545455,20.98181818181818,19.572727272727274,21.563636363636366,2021-12-09 3:00
21.327272727272728,20.972727272727273,19.572727272727274,21.57272727272727,2021-12-09 4:00
21.3,20.94545454545454,19.581818181818186,21.57272727272727,2021-12-09 5:00
21.263636363636365,20.94545454545454,19.572727272727274,21.57272727272727,2021-12-09 6:00
21.245454545454546,20.954545454545453,19.581818181818186,21.545454545454547,2021-12-09 7:00
21.21818181818182,20.91818181818182,19.581818181818186,21.545454545454547,2021-12-09 8:00
21.22727272727273,20.92727272727273,19.581818181818186,21.545454545454547,2021-12-09 9:00
21.21818181818182,20.92727272727273,19.59090909090909,21.536363636363635,2021-12-09 10:00
21.263636363636362,21.0,19.62727272727273,21.536363636363635,2021-12-09 11:00
21.27272727272727,20.954545454545453,19.581818181818182,21.545454545454547,2021-12-09 12:00
21.29090909090909,20.936363636363637,19.572727272727274,21.536363636363635,2021-12-09 13:00
22.963636363636365,23.38181818181818,22.33636363636364,24.281818181818185,2021-12-09 14:00
22.963636363636365,23.4,22.272727272727277,24.272727272727273,2021-12-09 15:00
22.954545454545453,23.43636363636364,22.272727272727277,24.254545454545454,2021-12-09 16:00
22.92727272727273,23.427272727272733,22.200000000000003,24.24545454545455,2021-12-09 17:00
22.91818181818182,23.463636363636365,22.19090909090909,24.245454545454546,2021-12-09 18:00
22.91818181818182,23.454545454545453,22.181818181818183,24.227272727272727,2021-12-09 19:00
22.92727272727273,23.44545454545454,22.181818181818183,24.218181818181822,2021-12-09 20:00
22.945454545454545,23.41818181818182,22.163636363636368,24.20909090909091,2021-12-09 21:00
22.936363636363637,23.41818181818182,22.163636363636364,24.20909090909091,2021-12-09 22:00
22.954545454545453,23.4,22.13636363636364,24.181818181818183,2021-12-09 23:00
22.981818181818184,23.39090909090909,22.072727272727274,24.163636363636364,2021-12-10 0:00
22.936363636363637,23.4,22.136363636363637,24.154545454545453,2021-12-10 1:00
22.91818181818182,23.372727272727275,22.172727272727272,24.172727272727276,2021-12-10 2:00
22.900000000000002,23.345454545454547,22.145454545454545,24.145454545454548,2021-12-10 3:00
22.881818181818183,23.35454545454546,22.11818181818182,24.15454545454546,2021-12-10 4:00
22.854545454545455,23.363636363636363,22.036363636363635,24.218181818181822,2021-12-10 5:00
22.845454545454544,23.381818181818186,22.00909090909091,24.145454545454548,2021-12-10 6:00
22.845454545454544,23.400000000000002,22.09090909090909,24.15454545454546,2021-12-10 7:00
22.927272727272726,23.35454545454546,22.09090909090909,24.15454545454546,2021-12-10 8:00
22.945454545454545,23.345454545454547,22.09090909090909,24.13636363636364,2021-12-10 9:00
23.018181818181816,23.35454545454546,22.081818181818186,24.13636363636364,2021-12-10 10:00
23.045454545454547,23.35454545454546,22.063636363636366,24.136363636363637,2021-12-10 11:00
23.063636363636366,23.363636363636363,22.11818181818182,24.13636363636364,2021-12-10 12:00
23.08181818181818,23.37272727272727,22.045454545454547,24.109090909090913,2021-12-10 13:00
23.036363636363635,23.30909090909091,22.045454545454547,24.109090909090913,2021-12-10 14:00
22.999999999999996,23.354545454545452,22.045454545454547,24.109090909090913,2021-12-10 15:00
22.97272727272727,23.345454545454547,22.036363636363635,24.1,2021-12-10 16:00
23.009090909090904,23.363636363636363,22.036363636363635,24.172727272727276,2021-12-10 17:00
22.96363636363636,23.372727272727275,22.13636363636364,24.1,2021-12-10 18:00
22.98181818181818,23.34545454545454,22.118181818181817,24.09090909090909,2021-12-10 19:00
23.009090909090908,23.363636363636363,22.145454545454548,24.10909090909091,2021-12-10 20:00
23.0,23.354545454545452,22.145454545454548,24.10909090909091,2021-12-10 21:00
22.999999999999996,23.354545454545452,22.145454545454548,24.10909090909091,2021-12-10 22:00
22.999999999999996,23.345454545454547,22.12727272727273,24.10909090909091,2021-12-10 23:00
23.009090909090908,23.372727272727275,22.13636363636364,24.10909090909091,2021-12-11 0:00
22.990909090909092,23.372727272727275,22.145454545454548,24.10909090909091,2021-12-11 1:00
22.981818181818184,23.4,22.145454545454548,24.1,2021-12-11 2:00
22.963636363636365,23.381818181818186,22.154545454545456,24.09090909090909,2021-12-11 3:00
